j,vdac,v1,v2,time
0,0.0,0.0819775,0.0519661,0.399841
5,0.0646555,0.117981,0.0559945,0.801971
10,0.129361,0.174983,0.0789562,1.20328
15,0.194067,0.233998,0.116974,1.60501
20,0.258773,0.291957,0.156956,2.00656
25,0.323479,0.35198,0.195981,2.40811
30,0.388185,0.408981,0.235962,2.80972
35,0.45289,0.478974,0.276951,3.21127
40,0.517596,0.53799,0.319954,3.61288
45,0.582302,0.596956,0.36195,4.01443
50,0.647008,0.654964,0.400975,4.41599
55,0.711714,0.717958,0.44,4.81757
60,0.77642,0.775967,0.479981,5.21915
65,0.841126,0.832968,0.517999,5.62073
70,0.905832,0.895962,0.557981,6.1243
75,0.970537,0.954978,0.597963,6.5264
80,1.03524,1.01696,0.63598,6.9277
85,1.09995,1.07497,0.677976,7.32928
90,1.16465,1.135,0.716951,7.73087
95,1.22936,1.19497,0.754969,8.13245
100,1.29407,1.263,0.79495,8.534
105,1.35877,1.32297,0.840975,8.93555
110,1.42348,1.38697,0.88297,9.33713
115,1.48818,1.44699,0.920988,9.73868
120,1.55289,1.50898,0.958956,10.1403
125,1.6176,1.56598,0.993952,10.5418
130,1.6823,1.62595,1.04098,10.9434
135,1.74706,1.68996,1.08298,11.345
140,1.81171,1.74399,1.12895,11.85
145,1.87642,1.80396,1.16999,12.2511
150,1.94112,1.86197,1.19995,12.6534
155,2.00588,1.93,1.23999,13.055
160,2.07054,1.97597,1.284,13.4565
165,2.13524,2.04596,1.31698,13.8581
170,2.19995,2.10397,1.36295,14.2596
175,2.2647,2.17497,1.40097,14.6612
180,2.32936,2.21898,1.44795,15.0627
185,2.39407,2.27598,1.47897,15.4642
190,2.45877,2.33797,1.51699,15.8658
195,2.52353,2.41098,1.55798,16.2673
200,2.58818,2.45998,1.60299,16.6689
205,2.65289,2.51497,1.63099,17.0705
210,2.7176,2.583,1.67399,17.472
215,2.78235,2.65999,1.71297,17.9744
220,2.84701,2.67097,1.76,18.3765
225,2.91171,2.67097,1.78895,18.7788
230,2.97642,2.67097,1.83498,19.1804
235,3.04117,2.67097,1.87395,19.5819
240,3.10583,2.67097,1.91499,19.9835
245,3.17054,2.67097,1.944,20.385
250,3.23524,2.67097,1.97295,20.7866
